54.0,2024-09-19,köp
45000.0,2024-09-19,lön
10000.0,2024-09-19,lön
600.0,2024-09-19,köp
20000.0,2024-09-19,lön
10.0,2024-09-19,köp
12345.0,2024-09-19,lön
3000.0,2024-09-23,lön
5001.0,2024-09-23,lön
654.0,2024-09-23,lön
27000.0,2024-09-24,lön
89.0,2024-09-24,köp
577.0,2024-09-25,lön
400.0,2024-09-25,Lön
678.0,2024-09-25,Köp
301.0,2024-09-25,Köp
45890.0,2024-09-25,Lön
9.0,2024-09-30,lön
7.0,2024-09-30,Köp
77.0,2024-10-28,lön
2221.0,2024-10-30,lön
333111.0,2024-10-30,lön
21.0,2024-10-30,lön
8.0,2024-10-30,lön
91.0,2024-10-30,lön
93.0,2024-11-05,lön
100.0,2024-11-05,köp
45000.0,2024-11-05,köp
450000.0,2024-11-05,köp
